"識別碼","店家名稱","城市","行政區","地址","電話","營業時間","核對狀態","來源網址","來源更新時間","擷取時間","網頁核對時間"
"Restaurant_376430000A_000016","佳樂蛋糕","桃園市","桃園區","桃園市桃園區民生路124號","(03)3335339","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2025-11-17T17:00:22+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000018","正記中崎本舖","桃園市","桃園區","桃園市桃園區中正路219號","(03)3370880","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2025-11-17T17:00:31+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000019","郭祿食品有限公司","桃園市","桃園區","桃園市桃園區中山路252號","(03)3385156","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2025-11-17T17:00:39+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000024","郭記名點","桃園市","桃園區","桃園市桃園區民安路140號","(03)3355135","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T10:38:22+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000034","老賊壽司","桃園市","桃園區","桃園市桃園區中正路328號","(03)3360935","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-03T16:20:33+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000045","灶腳小館","桃園市","桃園區","桃園市桃園區大興路218號","(03)3571356","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T11:02:21+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000056","金河冬粉丸","桃園市","桃園區","桃園市桃園區復興路342號","(03)3377638","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T11:13:54+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000071","元發飲食店","桃園市","復興區","桃園市復興區澤仁里中山路13之1號","(03)3822860","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-09T15:08:26+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000073","桃園觀光夜市","桃園市","桃園區","桃園市桃園區中正路與北埔路口","(03)3322101","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T11:15:03+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000078","七號公路義式咖啡館","桃園市","復興區","桃園市復興區詩朗32號","(03)3822997","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T11:28:07+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000088","瑞士鄉村農莊","桃園市","復興區","桃園市復興區復興路三段1028之2號","(03)3822380","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-05T15:23:03+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000112","八方園客家餐館","桃園市","楊梅區","桃園市楊梅區校前路580號","(03)4784735","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T11:29:25+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000113","首烏客家海鮮餐廳","桃園市","楊梅區","桃園市楊梅區新成路61號","(03)4853158","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T11:31:38+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000117","阿蘭姐三代老店","桃園市","楊梅區","桃園市楊梅區大成路23號","(03)4783266","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T11:33:02+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000138","稻鄉村客家莊","桃園市","龜山區","桃園市龜山區大崗里忠義路二段118巷69號","(03)3283993","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T11:34:32+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000139","桃園酒廠","桃園市","龜山區","桃園市龜山區文化一路55號","(03)3283001","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2025-11-17T17:04:28+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000198","張家土雞城","桃園市","蘆竹區","桃園市蘆竹區蘆興街451號","(03)3226945","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T11:37:08+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000217","素寶齋肚臍餅","桃園市","中壢區","桃園市中壢區中美路一段3號(監理站對面)","(03)4251990","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2025-11-17T17:06:25+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000219","三角店客家菜包","桃園市","中壢區","桃園市中壢區中正路272號","(03)4257508","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T11:38:14+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000220","劉媽媽菜包店","桃園市","中壢區","桃園市中壢區中正路268號","(03)4225226","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-05T15:20:22+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000221","中原夜市商圈","桃園市","中壢區","桃園市中壢區中原大學周邊(實踐路與日新路)","(03)3322101","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2025-11-05T16:41:12+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000222","中壢觀光夜市","桃園市","中壢區","桃園市中壢區新民國小(桃園市中壢區中央西路2段97號)旁","(03)3322101","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T11:40:08+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000223","禪園人文花園餐廳","桃園市","中壢區","桃園市中壢區廣安街32號","(03)4250589","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T11:42:39+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000234","雲南館","桃園市","平鎮區","桃園市平鎮區平東路39號","(03)4608287","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T11:44:30+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000237","老三牛家莊","桃園市","中壢區","桃園市中壢區中平路163號","(03)4255697","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T11:46:41+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000250","復興航棧總航棧店","桃園市","大園區","桃園市大園區三民路一段568號","(03)3936999","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T11:51:00+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000316","信宏鵝肉","桃園市","新屋區","桃園市新屋區中山路404號","(03)4772226","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T12:44:39+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000327","郭鵝肉海產店","桃園市","新屋區","桃園市新屋區永安村中山西路三段960號","(03)4861612","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T14:06:14+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000339","龍情魔幻豆子主題館(慈湖店)","桃園市","大溪區","桃園市大溪區復興路一段900號(大溪慈湖經國紀念館斜對面)","(03)3870489","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-02-03T13:46:54+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000360","知味花生軟糖","桃園市","龍潭區","桃園市龍潭區中正路15號","(03)4805363","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2025-12-08T17:08:02+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
"Restaurant_376430000A_000365","山水緣餐廳","桃園市","龍潭區","桃園市龍潭區三水里大北坑街1998巷47號","(03)4890956","","官方資料","https://data.gov.tw/dataset/7779","交通部觀光署: 2026-06-04T15:11:35+08:00","交通部觀光署: 2026-09-12T21:46:46+00:00",""
